PRODUCT_ID,BROWSE_NODE_ID
1,739
2,4
3,5
4,4
5,1313
6,1045
7,4
8,4
9,204
10,4
11,89
12,4
13,1045
14,4
15,1287
16,4
17,5
18,787
19,89
20,251
21,840
22,11
23,840
24,1045
25,4
26,4
27,4
28,1045
29,4
30,1295
31,1045
32,89
33,204
34,4
35,4
36,4
37,1045
38,4
39,55
40,4
41,11
42,977
43,1045
44,1045
45,1045
46,413
47,1045
48,1045
49,1045
50,209
51,204
52,4
53,1045
54,58
55,4
56,4
57,11
58,4
59,739
60,1045
61,4
62,74
63,251
64,1295
65,1045
66,1045
67,1724
68,11
69,840
70,1045
71,82
72,55
73,507
74,374
75,251
76,5
77,1251
78,439
79,1295
80,1295
81,1045
82,1084
83,5
84,1687
85,1287
86,1052
87,977
88,1003
89,1045
90,1045
91,4
92,1045
93,5
94,739
95,1045
96,1045
97,507
98,1045
99,840
100,4
101,4
102,1045
103,1045
104,1045
105,1251
106,1045
107,912
108,1045
109,1186
110,396
111,5
112,1045
113,1045
114,1045
115,1045
116,1295
117,413
118,4
119,1045
120,1045
121,507
122,1045
123,1687
124,636
125,1045
126,1045
127,876
128,1045
129,816
130,1045
131,1045
132,1045
133,11
134,4
135,4
136,4
137,1186
138,251
139,803
140,507
141,4
142,204
143,1045
144,1295
145,1351
146,1045
147,1045
148,816
149,4
150,4
151,507
152,787
153,85
154,1045
155,5
156,1194
157,324
158,701
159,507
160,507
161,840
162,4
163,1687
164,1539
165,4
166,816
167,289
168,977
169,1687
170,4
171,1045
172,4
173,40
174,289
175,1052
176,636
177,1251
178,255
179,255
180,4
181,1251
182,507
183,4
184,1186
185,805
186,117
187,816
188,4
189,4
190,439
191,507
192,117
193,507
194,569
195,773
196,4
197,439
198,74
199,1254
200,4
201,5
202,1058
203,1313
204,1777
205,4
206,840
207,1052
208,507
209,1058
210,439
211,816
212,1351
213,1045
214,4
215,11
216,507
217,1251
218,4
219,810
220,204
221,1687
222,1058
223,1164
224,4
225,1045
226,4
227,1876
228,803
229,1040
230,5
231,227
232,1590
233,251
234,1590
235,4
236,569
237,4
238,701
239,5
240,4
241,89
242,1045
243,4
244,773
245,773
246,4
247,1045
248,1251
249,1045
250,1045
251,773
252,773
253,1251
254,22
255,4
256,1045
257,35
258,4
259,1045
260,1045
261,507
262,530
263,374
264,1287
265,1045
266,4
267,1045
268,1045
269,4
270,11
271,4
272,636
273,1045
274,1045
275,4
276,1295
277,803
278,1313
279,439
280,636
281,507
282,805
283,739
284,1186
285,4
286,739
287,4
288,1045
289,204
290,1084
291,204
292,1084
293,1045
294,1045
295,507
296,1295
297,1045
298,1045
299,1045
300,1045
301,86
302,805
303,1084
304,4
305,4
306,701
307,1045
308,4
309,1045
310,4
311,1045
312,5
313,1045
314,1045
315,4
316,1052
317,289
318,1045
319,1045
320,739
321,1045
322,803
323,5
324,1295
325,507
326,11
327,840
328,758
329,4
330,816
331,1045
332,1045
333,5
334,1045
335,1724
336,1045
337,4
338,1724
339,1045
340,1045
341,1045
342,1045
343,1045
344,4
345,289
346,1045
347,1045
348,1045
349,1045
350,1186
351,439
352,816
353,1003
354,1045
355,1045
356,289
357,1045
358,1687
359,1045
360,1045
361,1295
362,1348
363,1045
364,1045
365,89
366,1045
367,1045
368,507
369,69
370,816
371,1045
372,1251
373,1045
374,1045
375,1045
376,1045
377,816
378,1045
379,427
380,1045
381,4
382,4
383,1313
384,530
385,739
386,507
387,422
388,89
389,840
390,1251
391,5
392,1724
393,1045
394,5
395,1040
396,1045
397,1052
398,1724
399,4
400,1045
401,1348
402,1295
403,1045
404,1724
405,1045
406,289
407,4
408,5
409,636
410,1045
411,89
412,89
413,1590
414,1687
415,289
416,507
417,1045
418,507
419,117
420,1045
421,1045
422,1052
423,4
424,4
425,701
426,204
427,530
428,4
429,1041
430,5
431,5
432,251
433,4
434,1045
435,251
436,840
437,1287
438,4
439,251
440,507
441,1052
442,1687
443,439
444,1164
445,1045
446,324
447,701
448,507
449,374
450,5
451,4
452,255
453,1295
454,1045
455,507
456,636
457,92
458,251
459,1194
460,5
461,1186
462,1251
463,5
464,324
465,4
466,1213
467,227
468,1045
469,4
470,1251
471,701
472,4
473,4
474,374
475,4
476,4
477,5
478,5
479,5
480,4
481,204
482,701
483,4
484,1045
485,204
486,289
487,4
488,4
489,4
490,701
491,4
492,4
493,701
494,1045
495,4
496,1045
497,816
498,1045
499,1040
500,1590
501,86
502,1045
503,4
504,1687
505,1045
506,840
507,1045
508,4
509,701
510,4
511,227
512,209
513,1045
514,5
515,1045
516,1186
517,251
518,289
519,1251
520,1045
521,204
522,1045
523,1045
524,4
525,204
526,5
527,4
528,422
529,413
530,11
531,4
532,1045
533,1045
534,11
535,1045
536,1045
537,1045
538,1045
539,289
540,55
541,1348
542,1724
543,1045
544,1351
545,507
546,1045
547,875
548,1045
549,1348
550,396
551,1045
552,4
553,1045
554,251
555,413
556,374
557,255
558,1045
559,251
560,1045
561,1045
562,1045
563,1045
564,1045
565,840
566,4
567,701
568,89
569,86
570,636
571,1287
572,1687
573,4
574,11
575,1164
576,1045
577,4
578,810
579,1045
580,1687
581,4
582,1045
583,1045
584,1164
585,1045
586,1045
587,1045
588,1045
589,1045
590,1045
591,977
592,1045
593,1045
594,1186
595,1045
596,1687
597,1045
598,1045
599,1045
600,1045
601,1084
602,1045
603,1045
604,840
605,1045
606,289
607,1045
608,1045
609,1045
610,1045
611,4
612,912
613,11
614,1045
615,1045
616,636
617,1251
618,1045
619,1045
620,1045
621,816
622,816
623,1045
624,4
625,1045
626,4
627,507
628,530
629,289
630,4
631,816
632,289
633,289
634,530
635,1687
636,1045
637,1045
638,86
639,1724
640,653
641,55
642,4
643,92
644,507
645,289
646,1724
647,251
648,507
649,255
650,4
651,11
652,507
653,594
654,1687
655,289
656,1313
657,4
658,1687
659,4
660,1590
661,5
662,1045
663,507
664,1687
665,507
666,912
667,507
668,251
669,204
670,636
671,1687
672,251
673,324
674,1045
675,840
676,5
677,374
678,1045
679,439
680,4
681,507
682,739
683,507
684,1084
685,5
686,4
687,439
688,227
689,1045
690,816
691,1045
692,11
693,1052
694,840
695,507
696,1045
697,374
698,1045
699,5
700,1084
701,439
702,3821
703,1045
704,1295
705,1251
706,1045
707,507
708,530
709,5
710,1052
711,1186
712,739
713,55
714,1287
715,204
716,4
717,4
718,4
719,1590
720,4
721,773
722,1287
723,1045
724,5
725,4
726,4
727,374
728,701
729,1045
730,739
731,530
732,1045
733,1295
734,1045
735,4
736,1295
737,840
738,1045
739,4
740,1295
741,1045
742,1045
743,289
744,11
745,4
746,803
747,374
748,4
749,1313
750,1045
751,1353
752,251
753,1045
754,4
755,1724
756,1045
757,439
758,1041
759,1687
760,89
761,5
762,439
763,449
764,803
765,1045
766,4
767,1045
768,1251
769,5
770,1045
771,204
772,204
773,1045
774,396
775,86
776,55
777,1045
778,1045
779,1045
780,1045
781,204
782,5
783,1045
784,1045
785,507
786,1194
787,251
788,1084
789,204
790,4
791,1052
792,4
793,1045
794,4
795,816
796,289
797,739
798,289
799,4
800,1351
801,5
802,1687
803,4
804,1590
805,89
806,1194
807,1045
808,803
809,507
810,1045
811,840
812,204
813,227
814,701
815,1045
816,251
817,4
818,4
819,1045
820,1251
821,1045
822,374
823,11
824,255
825,4
826,1045
827,507
828,1164
829,1045
830,1045
831,1045
832,11
833,1045
834,1045
835,1045
836,4
837,4
838,1045
839,4
840,1045
841,5
842,289
843,1045
844,1045
845,1045
846,1045
847,1084
848,701
849,1687
850,1045
851,1084
852,4
853,1084
854,1045
855,1194
856,1045
857,1045
